List of all supported languages
Language	Voice type	Language code	Voice name	SSML Gender	Sample
Afrikaans (South Africa)	Standard	af-ZA	af-ZA-Standard-A	FEMALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Achernar	FEMALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Achird	MALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Algenib	MALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Algieba	MALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Alnilam	MALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Aoede	FEMALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Autonoe	FEMALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Callirrhoe	FEMALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Charon	MALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Despina	FEMALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Enceladus	MALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Erinome	FEMALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Fenrir	MALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Gacrux	FEMALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Iapetus	MALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Kore	FEMALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Laomedeia	FEMALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Leda	FEMALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Orus	MALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Puck	MALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Pulcherrima	FEMALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Rasalgethi	MALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Sadachbia	MALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Sadaltager	MALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Schedar	MALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Sulafat	FEMALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Umbriel	MALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Vindemiatrix	FEMALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Zephyr	FEMALE	
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Zubenelgenubi	MALE	
Arabic	Standard	ar-XA	ar-XA-Standard-A	FEMALE	
Arabic	Standard	ar-XA	ar-XA-Standard-B	MALE	
Arabic	Standard	ar-XA	ar-XA-Standard-C	MALE	
Arabic	Standard	ar-XA	ar-XA-Standard-D	FEMALE	
Arabic	Premium	ar-XA	ar-XA-Wavenet-A	FEMALE	
Arabic	Premium	ar-XA	ar-XA-Wavenet-B	MALE	
Arabic	Premium	ar-XA	ar-XA-Wavenet-C	MALE	
Arabic	Premium	ar-XA	ar-XA-Wavenet-D	FEMALE	
